Time in seconds,Temperature,Humidity
1005,25.7,72
1008,25.7,72
1011,25.7,72
1014,25.7,72
1017,25.7,72
1020,25.7,72
1023,25.7,72
1026,25.7,72
1029,25.7,72
1032,25.7,72
1035,25.7,72
1038,25.7,73
1041,25.7,72
1044,25.7,72
1047,25.7,72
1050,25.7,73
1053,25.7,72
1056,25.7,72
1059,25.7,72
1062,25.7,72
1065,25.7,72
1068,25.7,72
1071,25.7,72
1074,25.7,72
1077,25.7,72
1080,25.7,72
1083,25.8,72
1086,25.7,72
1089,25.7,72
1093,25.7,73
1096,25.7,72
1099,25.7,73
1102,25.7,73
1105,25.7,72
1108,25.7,72
1111,25.7,72
1114,25.7,73
1117,25.7,72
1120,25.7,72
1123,25.7,72
1126,25.7,72
1129,25.7,73
1132,25.7,72
1135,25.7,72
1138,25.7,73
1141,25.7,73
1144,25.7,73
1147,25.7,72
1150,25.7,73
1153,25.7,73
1156,25.7,73
1159,25.7,73
1162,25.7,73
1165,25.7,73
1168,25.7,73
1171,25.7,73
1174,25.7,73
1178,25.7,73
1181,25.7,73
1184,25.7,73
1187,25.7,73
1190,25.7,73
1193,25.7,73
1196,25.7,73
1199,25.7,73
1202,25.7,73
1205,25.7,73
1208,25.7,73
1211,25.7,73
1214,25.7,73
1217,25.7,73
1220,25.7,73
1223,25.7,73
1226,25.7,73
1229,25.7,73
1232,25.7,73
1235,25.7,73
1238,25.7,73
1241,25.7,73
1244,25.7,73
1247,25.7,73
1250,25.7,73
1253,25.7,73
1256,25.7,73
1259,25.7,73
1262,25.7,73
1265,25.7,73
1268,25.7,73
1271,25.7,73
1274,25.7,73
1277,25.7,73
1280,25.7,73
1284,25.7,73
1287,25.7,73
1290,25.7,73
1293,25.7,73
1296,25.7,73
1299,25.7,73
1302,25.7,73
1305,25.7,73
1308,25.7,73
1311,25.7,73
1314,25.7,73
1317,25.7,73
1320,25.7,73
1323,25.7,73
1326,25.7,73
1329,25.7,73
1332,25.7,73
1335,25.7,73
1338,25.7,73
1341,25.7,73
1344,25.7,73
1347,25.7,73
1350,25.7,73
1353,25.7,73
1356,25.7,73
1359,25.6,73
1362,25.6,73
1366,25.7,73
1369,25.6,73
1372,25.6,73
1375,25.6,73
1378,25.6,73
1381,25.6,73
1384,25.6,73
1387,25.6,73
1390,25.6,73
1393,25.7,73
1396,25.6,73
1399,25.6,73
1402,25.6,73
1405,25.6,73
1408,25.6,73
1411,25.6,73
1414,25.6,73
1417,25.6,73
1420,25.6,73
1423,25.6,73
1426,25.6,73
1429,25.6,73
1432,25.6,73
1435,25.6,73
1438,25.6,73
1441,25.6,73
1444,25.6,73
1447,25.6,73
1450,25.6,73
1453,25.6,73
1456,25.6,73
1459,25.6,73
1463,25.6,73
1466,25.6,73
1469,25.6,73
1472,25.6,73
1475,25.6,73
1478,25.6,73
1481,25.6,73
1484,25.6,73
1487,25.6,73
1490,25.6,73
1493,25.6,73
1496,25.6,73
1499,25.6,73
1502,25.6,73
1505,25.6,73
1508,25.6,73
1511,25.6,73
1514,25.6,73
1517,25.6,73
1520,25.6,73
1523,25.6,73
1526,25.6,73
1529,25.6,73
1532,25.6,73
1535,25.6,73
1538,25.6,73
1541,25.6,73
1544,25.6,73
1547,25.6,73
1550,25.6,73
1553,25.6,73
1556,25.6,73
1559,25.6,73
1562,25.6,73
1565,25.6,73
1568,25.6,73
1571,25.6,73
1574,25.7,73
1577,25.6,73
1580,25.6,73
1583,25.6,73
1586,25.7,73
1590,25.6,73
1593,25.7,73
1596,25.7,73
1599,25.7,73
1602,25.7,73
1605,25.7,73
1608,25.7,73
1611,25.7,73
1614,25.7,73
1617,25.7,73
1620,25.7,73
1623,25.7,73
1626,25.7,73
1629,25.7,73
1632,25.7,73
1635,25.7,73
1638,25.7,73
1641,25.7,73
1644,25.7,73
1647,25.7,73
1650,25.7,73
1653,25.7,73
1656,25.7,73
1659,25.7,73
1662,25.7,73
1665,25.7,73
1668,25.7,73
1671,25.7,73
1674,25.7,73
1677,25.7,73
1680,25.7,73
1684,25.7,73
1687,25.7,73
1690,25.7,73
1693,25.7,73
1696,25.7,73
1699,25.7,73
1702,25.7,73
1705,25.7,73
1708,25.7,73
1711,25.7,73
1714,25.7,73
1717,25.7,73
1720,25.7,73
1723,25.7,73
1726,25.7,73
1729,25.7,73
1732,25.7,73
1735,25.7,73
1738,25.7,73
1741,25.7,73
1744,25.7,73
1747,25.7,73
1750,25.7,73
1753,25.7,73
1756,25.7,73
1759,25.7,73
1762,25.7,73
1765,25.7,73
1768,25.7,73
1771,25.7,73
1774,25.7,73
1777,25.7,73
1781,25.7,73
1784,25.7,73
1787,25.7,73
1790,25.7,73
1793,25.7,73
1796,25.7,73
1799,25.7,73
1802,25.7,73
1805,25.7,73
1808,25.7,73
1811,25.7,73
1814,25.7,73
1817,25.7,73
1820,25.7,73
1823,25.7,73
1826,25.7,73
1829,25.7,73
1832,25.7,73
1835,25.7,73
1838,25.7,73
1841,25.7,73
1844,25.7,73
1847,25.7,73
1850,25.7,73
1853,25.7,73
1856,25.7,73
1860,25.7,73
1863,25.7,73
1866,25.7,73
1869,25.7,73
1872,25.6,73
1875,25.6,73
1878,25.6,73
1881,25.6,73
1884,25.6,73
1887,25.6,73
1890,25.7,73
1893,25.6,73
1896,25.6,73
1899,25.6,73
1902,25.6,73
1905,25.6,73
1908,25.6,73
1911,25.6,73
1914,25.6,73
1917,25.6,73
1920,25.6,73
1923,25.6,73
1926,25.6,73
1929,25.6,73
1932,25.6,73
1935,25.6,73
1938,25.6,73
1941,25.6,73
1944,25.6,73
1947,25.6,73
1950,25.6,73
1953,25.6,73
1956,25.6,73
1959,25.6,73
1963,25.6,73
1966,25.6,73
1969,25.6,73
1972,25.6,73
1975,25.6,73
1978,25.6,73
1981,25.6,73
1984,25.6,73
1987,25.6,73
1990,25.6,73
1993,25.6,73
1996,25.6,73
1999,25.6,73
2002,25.6,73
2005,25.6,73
2008,25.6,73
2011,25.6,73
2014,25.6,73
2017,25.6,73
2020,25.6,73
2023,25.6,73
2026,25.6,73
2029,25.6,73
2032,25.6,73
2035,25.6,73
2038,25.6,73
2041,25.6,73
2044,25.6,73
2047,25.6,73
2050,25.6,73
2053,25.6,73
2056,25.6,73
2059,25.6,73
2062,25.6,73
2065,25.6,73
2068,25.6,73
2072,25.6,73
2075,25.6,73
2078,25.6,73
2081,25.6,73
2084,25.7,73
2087,25.6,73
2090,25.6,73
2093,25.6,73
2096,25.6,73
2099,25.6,73
2102,25.6,73
2105,25.6,73
2108,25.6,73
2111,25.6,73
2114,25.6,73
2117,25.6,73
2120,25.6,73
2123,25.6,73
2126,25.6,73
2129,25.6,73
2132,25.6,73
2135,25.6,73
2138,25.6,73
2141,25.6,73
2144,25.6,73
2147,25.6,73
2150,25.6,73
2153,25.6,73
2156,25.6,73
2159,25.6,73
2162,25.6,73
2165,25.6,73
2168,25.6,73
2172,25.6,73
2175,25.6,73
2178,25.6,73
2181,25.6,73
2184,25.6,73
2187,25.6,73
2190,25.6,73
2193,25.6,73
2196,25.6,73
2199,25.7,73
2202,25.6,73
2205,25.7,73
2208,25.7,73
2211,25.7,73
2214,25.7,73
2217,25.6,73
2220,25.7,73
2223,25.7,73
2226,25.7,73
2229,25.7,73
2232,25.7,73
2235,25.7,73
2238,25.7,73
2241,25.7,73
2244,25.6,73
2247,25.7,73
2250,25.7,73
2253,25.7,73
2256,25.7,73
2259,25.7,73
2263,25.7,73
2266,25.6,73
2269,25.6,73
2272,25.6,73
2275,25.6,73
2278,25.6,73
2281,25.6,74
2284,25.6,73
2287,25.6,73
2290,25.6,73
2293,25.6,73
2296,25.6,73
2299,25.6,74
2302,25.6,73
2305,25.6,73
2308,25.6,73
2311,25.6,73
2314,25.6,73
2317,25.6,73
2320,25.6,73
2323,25.6,73
2326,25.6,73
2329,25.6,73
2332,25.6,73
2335,25.6,73
2338,25.6,73
2341,25.6,73
2344,25.7,73
2347,25.6,73
2350,25.6,73
2353,25.6,73
2356,25.6,73
2359,25.6,73
2362,25.6,73
2366,25.6,73
2369,25.6,73
2372,25.6,73
2375,25.6,73
2378,25.6,73
2381,25.6,73
2384,25.6,73
2387,25.6,73
2390,25.6,73
2393,25.6,73
2396,25.6,73
2399,25.6,73
2402,25.6,73
2405,25.6,73
2408,25.6,73
2411,25.6,73
2414,25.6,73
2417,25.6,73
2420,25.6,73
2423,25.6,73
2426,25.6,73
2429,25.6,73
2432,25.6,73
2435,25.6,73
2438,25.6,73
2441,25.6,73
2444,25.6,73
2447,25.6,73
2450,25.6,73
2453,25.6,73
2457,25.6,73
2460,25.6,73
2463,25.6,73
2466,25.6,73
2469,25.6,73
2472,25.6,73
2475,25.6,73
2478,25.6,73
2481,25.6,73
2484,25.6,73
2487,25.6,73
2490,25.6,73
2493,25.6,73
2496,25.6,73
2499,25.6,73
2502,25.6,73
2505,25.6,73
2508,25.6,73
2511,25.6,73
2514,25.6,73
2517,25.6,73
2520,25.6,73
2523,25.6,73
2526,25.6,73
2529,25.6,73
2532,25.6,73
2535,25.6,73
2538,25.6,73
2541,25.6,73
2544,25.6,73
2547,25.6,73
2550,25.6,73
2553,25.6,72
2556,25.6,72
2560,25.6,72
2563,25.6,72
2566,25.6,73
2569,25.6,72
2572,25.6,73
2575,25.6,73
2578,25.6,73
2581,25.6,73
2584,25.6,73
2587,25.6,73
2590,25.6,73
2593,25.6,73
2596,25.6,73
2599,25.6,73
2602,25.6,73
2605,25.6,73
2608,25.6,73
2611,25.6,73
2614,25.6,73
2617,25.6,73
2620,25.6,73
2623,25.6,72
2626,25.6,72
2629,25.6,72
2632,25.6,72
2635,25.6,72
2638,25.6,72
2641,25.6,72
2644,25.6,72
2647,25.6,72
2650,25.6,72
2653,25.6,72
2657,25.6,72
2660,25.6,72
2663,25.6,72
2666,25.6,72
2669,25.6,72
2672,25.6,72
2675,25.6,72
2678,25.6,72
2681,25.6,72
2684,25.6,72
2687,25.6,72
2690,25.6,73
2693,25.6,72
2696,25.6,73
2699,25.6,73
2702,25.6,73
2705,25.6,72
2708,25.6,72
2711,25.6,72
2714,25.6,72
2717,25.6,72
2720,25.6,72
2723,25.6,72
2726,25.6,72
2729,25.6,72
2732,25.6,72
2735,25.6,72
2739,25.6,72
2742,25.7,72
2745,25.6,72
2748,25.7,72
2751,25.6,72
2754,25.7,72
2757,25.6,72
2760,25.7,72
2763,25.7,72
2766,25.7,72
2769,25.6,72
2772,25.7,72
2775,25.7,73
2778,25.7,73
2781,25.7,73
2784,25.7,73
2787,25.7,73
2790,25.7,73
2793,25.6,73
2796,25.7,73
2799,25.7,73
2802,25.7,73
2805,25.7,73
2808,25.7,73
2811,25.7,73
2814,25.7,73
2817,25.7,73
2820,25.7,73
2823,25.7,73
2826,25.7,73
2830,25.7,73
2833,25.7,73
2836,25.7,73
2839,25.7,73
2842,25.7,73
2845,25.7,73
2848,25.7,73
2851,25.7,73
2854,25.7,73
2857,25.7,73
2860,25.7,73
2863,25.7,73
2866,25.7,73
2869,25.7,73
2872,25.7,73
2875,25.7,73
2878,25.7,73
2881,25.7,73
2884,25.7,73
2887,25.7,73
2890,25.7,73
2893,25.7,73
2896,25.7,73
2899,25.7,73
2902,25.7,73
2905,25.7,73
2908,25.7,73
2911,25.7,73
2914,25.7,73
2917,25.7,73
2920,25.7,73
2923,25.7,73
2926,25.7,73
2929,25.7,73
2932,25.7,73
2936,25.7,73
2939,25.7,73
2942,25.7,73
2945,25.7,73
2948,25.7,73
2951,25.7,73
2954,25.7,73
2957,25.7,73
2960,25.7,73
2963,25.7,73
2966,25.7,73
2969,25.7,73
2972,25.7,73
2975,25.7,73
2978,25.7,73
2981,25.7,73
2984,25.7,73
2987,25.7,73
2990,25.7,73
2993,25.7,73
2996,25.7,73
2999,25.7,73
3002,25.7,73
3005,25.7,73
3008,25.7,73
3011,25.7,73
3014,25.7,73
3017,25.7,73
3021,25.7,73
3024,25.7,73
3027,25.7,73
3030,25.7,73
3033,25.7,73
3036,25.7,73
3039,25.7,73
3042,25.7,73
3045,25.7,73
3048,25.7,73
3051,25.7,73
3054,25.7,73
3057,25.7,73
3060,25.7,73
3063,25.7,73
3066,25.7,73
3069,25.7,73
3072,25.7,73
3075,25.7,73
3078,25.7,73
3081,25.7,73
3084,25.7,73
3087,25.7,73
3090,25.7,73
3093,25.7,73
3096,25.7,73
3099,25.7,73
3102,25.7,73
3105,25.7,74
3109,25.7,73
3112,25.7,73
3115,25.7,73
3118,25.7,74
3121,25.7,74
3124,25.7,74
3127,25.7,73
3130,25.7,73
3133,25.7,74
3136,25.7,73
3139,25.7,73
3142,25.7,73
3145,25.7,73
3148,25.7,73
3151,25.7,73
3154,25.7,73
3157,25.7,74
3160,25.7,74
3163,25.7,74
3166,25.7,74
3169,25.7,74
3172,25.7,73
3175,25.7,73
3178,25.7,74
3181,25.7,74
3184,25.7,74
3187,25.7,74
3190,25.7,74
3193,25.7,74
3196,25.7,74
3199,25.7,74
3203,25.7,74
3206,25.7,74
3209,25.7,74
3212,25.7,74
3215,25.7,74
3218,25.7,73
3221,25.7,73
3224,25.7,73
3227,25.7,73
3230,25.7,74
3233,25.7,73
3236,25.7,73
3239,25.7,73
3242,25.7,74
3245,25.7,74
3248,25.7,74
3251,25.7,73
3254,25.7,73
3257,25.7,73
3260,25.7,74
3263,25.7,73
3266,25.7,74
3269,25.7,73
3272,25.7,73
3275,25.7,73
3278,25.7,74
3281,25.7,73
3284,25.7,73
3287,25.7,74
3290,25.7,74
3294,25.7,74
3297,25.7,74
3300,25.7,73
3303,25.7,73
3306,25.7,74
3309,25.7,74
3312,25.7,74
3315,25.7,73
3318,25.7,73
3321,25.7,73
3324,25.7,73
3327,25.7,74
3330,25.7,74
3333,25.7,74
3336,25.7,74
3339,25.7,74
3342,25.7,74
3345,25.7,74
3348,25.7,74
3351,25.7,74
3354,25.7,74
3357,25.7,74
3360,25.7,74
3363,25.7,74
3366,25.7,74
3369,25.7,73
3372,25.7,73
3376,25.7,73
3379,25.7,73
3382,25.7,74
3385,25.7,74
3388,25.7,73
3391,25.7,74
3394,25.7,73
3397,25.7,74
3400,25.7,74
3403,25.7,74
3406,25.7,74
3409,25.7,74
3412,25.7,74
3415,25.7,74
3418,25.7,74
3421,25.7,74
3424,25.7,74
3427,25.7,74
3430,25.7,74
3433,25.7,74
3436,25.7,74
3439,25.7,74
3442,25.7,74
3445,25.7,74
3448,25.7,74
3451,25.7,74
3454,25.7,74
3457,25.7,74
3460,25.7,74
3463,25.7,74
3466,25.7,74
3469,25.7,74
3472,25.7,74
3475,25.7,74
3478,25.7,74
3482,25.7,74
3485,25.7,74
3488,25.7,74
3491,25.7,74
3494,25.7,74
3497,25.7,74
3500,25.7,74
3503,25.7,74
3506,25.7,74
3509,25.7,74
3512,25.7,74
3515,25.7,74
3518,25.7,74
3521,25.7,74
3524,25.7,74
3527,25.7,74
3530,25.7,74
3533,25.7,74
3536,25.7,74
3539,25.7,74
3542,25.7,74
3545,25.7,74
3548,25.7,74
3551,25.7,74
3554,25.7,74
3557,25.7,74
3560,25.7,74
3563,25.7,74
3567,25.7,74
3570,25.7,74
3573,25.7,74
3576,25.7,74
3579,25.7,74
3582,25.7,74
3585,25.7,74
3588,25.7,73
3591,25.7,74
3594,25.7,73
3597,25.7,73
3600,25.7,73
3603,25.7,73
3606,25.7,74
3609,25.7,73
3612,25.7,74
3615,25.7,74
3618,25.7,74
3621,25.7,74
3624,25.7,74
3627,25.7,73
3630,25.7,74
3633,25.7,74
3636,25.7,74
3639,25.7,74
3642,25.7,74
3645,25.7,74
3648,25.7,74
3651,25.7,74
3654,25.7,74
3657,25.7,74
3660,25.7,74
3663,25.7,74
3667,25.7,74
3670,25.7,74
3673,25.7,74
3676,25.7,74
3679,25.7,74
3682,25.7,74
3685,25.7,74
3688,25.7,74
3691,25.7,74
3694,25.7,74
3697,25.7,74
3700,25.7,74
3703,25.7,74
3706,25.7,74
3709,25.7,74
3712,25.7,74
3715,25.7,74
3718,25.7,74
3721,25.7,74
3724,25.7,74
3727,25.7,74
3730,25.7,74
3733,25.7,74
3736,25.7,74
3739,25.7,74
3742,25.7,74
3745,25.7,74
3748,25.7,74
3751,25.7,74
3754,25.7,74
3757,25.7,74
3760,25.7,74
3763,25.7,74
3766,25.7,74
3769,25.7,74
3773,25.7,74
3776,25.7,74
3779,25.7,74
3782,25.7,74
3785,25.6,74
3788,25.7,74
3791,25.7,74
3794,25.7,74
3797,25.6,74
3800,25.6,74
3803,25.7,74
3806,25.6,74
3809,25.6,74
3812,25.7,74
3815,25.6,74
3818,25.6,74
3821,25.6,74
3824,25.6,74
3827,25.6,74
3830,25.6,74
3833,25.6,74
3836,25.7,74
3839,25.7,74
3842,25.7,74
3845,25.7,74
3848,25.6,74
3851,25.7,74
3854,25.7,74
3857,25.7,74
3860,25.7,74
3863,25.7,74
3866,25.7,74
3869,25.7,74
3872,25.7,74
3876,25.7,74
3879,25.7,74
3882,25.7,74
3885,25.7,74
3888,25.7,74
3891,25.7,74
3894,25.7,74
3897,25.7,74
3900,25.7,74
3903,25.7,74
3906,25.7,74
3909,25.7,74
3912,25.7,74
3915,25.7,74
3918,25.7,74
3921,25.7,74
3924,25.7,74
3927,25.7,74
3930,25.7,74
3933,25.7,74
3936,25.7,74
3939,25.6,74
3942,25.7,74
3945,25.7,74
3948,25.7,74
3951,25.7,74
3954,25.7,74
3957,25.7,74
3960,25.7,74
3963,25.7,74
3966,25.7,74
3969,25.7,74
3972,25.7,74
3976,25.7,74
3979,25.7,74
3982,25.7,74
3985,25.7,74
3988,25.7,74
3991,25.7,74
3994,25.7,74
3997,25.7,74
4000,25.7,74
4003,25.7,74
4006,25.7,74
4009,25.7,74
4012,25.7,74
4015,25.7,74
4018,25.7,74
4021,25.7,74
4024,25.7,74
4027,25.7,74
4030,25.7,74
4033,25.7,74
4036,25.7,74
4039,25.7,74
4042,25.7,74
4045,25.7,74
4048,25.7,74
4051,25.6,74
4054,25.7,74
4057,25.7,74
4060,25.7,74
4063,25.7,74
4066,25.7,74
4069,25.7,74
4072,25.7,74
4075,25.7,74
4078,25.7,74
4081,25.7,74
4085,25.7,74
4088,25.7,74
4091,25.7,74
4094,25.7,74
4097,25.7,74
4100,25.7,74
4103,25.7,74
4106,25.7,74
4109,25.7,74
4112,25.7,74
4115,25.7,74
4118,25.7,74
4121,25.7,74
4124,25.7,74
4127,25.7,74
4130,25.7,74
4133,25.7,74
4136,25.7,74
4139,25.7,74
4142,25.7,74
4145,25.7,74
4148,25.7,74
4151,25.7,74
4154,25.7,74
4157,25.7,74
4160,25.7,74
4163,25.7,74
4166,25.7,74
4169,25.7,74
4172,25.7,74
4175,25.7,74
4179,25.7,74
4182,25.7,74
4185,25.7,74
4188,25.7,74
4191,25.7,74
4194,25.7,74
4197,25.7,74
4200,25.7,74
4203,25.7,74
4206,25.7,74
4209,25.7,74
4212,25.7,74
4215,25.7,74
4218,25.7,74
4221,25.7,74
4224,25.7,74
4227,25.7,74
4230,25.7,74
4233,25.7,74
4236,25.7,74
4239,25.7,74
4242,25.7,74
4245,25.7,74
4248,25.7,74
4251,25.7,74
4254,25.7,74
4257,25.7,74
4260,25.7,74
4263,25.7,74
4266,25.7,74
4269,25.7,74
4272,25.7,74
4275,25.7,74
4278,25.7,74
4281,25.7,74
4285,25.7,74
4288,25.7,74
4291,25.7,74
4294,25.7,74
4297,25.7,74
4300,25.7,74
4303,25.7,74
4306,25.7,74
4309,25.7,74
4312,25.7,74
4315,25.7,74
4318,25.7,74
4321,25.7,74
4324,25.7,74
4327,25.7,74
4330,25.7,74
4333,25.7,74
4336,25.7,74
4339,25.7,74
4342,25.7,74
4345,25.7,74
4348,25.7,74
4351,25.7,74
4354,25.7,74
4357,25.7,74
4360,25.7,74
4363,25.7,74
4366,25.7,74
4369,25.7,74
4372,25.6,74
4375,25.7,74
4378,25.6,74
4381,25.6,74
4385,25.6,74
4388,25.6,74
4391,25.7,74
4394,25.6,74
4397,25.6,74
4400,25.6,74
4403,25.7,74
4406,25.7,74
4409,25.6,74
4412,25.6,74
4415,25.6,74
4418,25.6,74
4421,25.6,74
4424,25.6,74
4427,25.6,74
4430,25.6,74
4433,25.6,74
4436,25.6,74
4439,25.6,74
4442,25.6,74
4445,25.6,74
4448,25.6,74
4451,25.6,74
4454,25.6,74
4457,25.6,74
4460,25.6,74
4463,25.6,74
4466,25.6,74
4469,25.6,74
4472,25.6,74
4475,25.6,74
4478,25.6,74
4481,25.6,74
4484,25.6,74
4487,25.6,74
4490,25.6,74
4493,25.6,74
4497,25.6,74
4500,25.6,74
4503,25.6,74
4506,25.6,74
4509,25.6,74
4512,25.6,74
4515,25.6,74
4518,25.6,74
4521,25.6,74
4524,25.6,74
4527,25.6,74
4530,25.6,74
4533,25.6,74
4536,25.6,74
4539,25.6,74
4542,25.6,74
4545,25.6,74
4548,25.6,74
4551,25.6,74
4554,25.6,74
4557,25.6,74
4560,25.6,74
4563,25.6,74
4566,25.6,74
4569,25.6,74
4572,25.6,74
4575,25.6,74
4578,25.6,74
4581,25.6,74
4584,25.6,74
4587,25.6,74
4591,25.6,74
4594,25.6,74
4597,25.6,74
4600,25.6,74
4603,25.6,74
4606,25.6,74
4609,25.6,74
4612,25.6,74
4615,25.6,74
4618,25.6,74
4621,25.6,74
4624,25.6,74
4627,25.6,74
4630,25.6,74
4633,25.6,74
4636,25.6,74
4639,25.6,74
4642,25.6,74
4645,25.6,74
4648,25.6,74
4651,25.6,74
4654,25.6,74
4657,25.6,74
4660,25.6,74
4663,25.6,74
4666,25.6,74
4669,25.6,74
4672,25.6,74
4676,25.6,74
4679,25.6,74
4682,25.6,74
4685,25.6,74
4688,25.6,74
4691,25.6,74
4694,25.6,74
4697,25.6,74
4700,25.6,74
4703,25.6,74
4706,25.6,74
4709,25.6,74
4712,25.6,74
4715,25.6,74
4718,25.6,74
4721,25.6,74
4724,25.6,74
4727,25.6,74
4730,25.6,74
4733,25.6,74
4736,25.6,74
4739,25.6,74
4742,25.6,74
4745,25.6,74
4748,25.6,74
4751,25.6,74
4754,25.6,74
4757,25.6,74
4760,25.6,74
4764,25.6,74
4767,25.6,74
4770,25.6,74
4773,25.6,74
4776,25.6,74
4779,25.6,74
4782,25.6,74
4785,25.6,74
4788,25.6,74
4791,25.6,74
4794,25.6,74
4797,25.6,74
4800,25.6,74
4803,25.6,74
4806,25.6,74
4809,25.6,74
4812,25.6,74
4815,25.6,74
4818,25.6,74
4821,25.6,74
4824,25.6,74
4827,25.6,74
4830,25.6,74
4833,25.6,74
4836,25.6,74
